dd/mm/y	who	where	what	what-x (Hebrew)	what-y (Hebrew)
2025-01-11 00:00:00	S(A)K	משלי ה,יג	"Deleted meteg in ""לֹא־הִטִּ֥יתִי"" (following AC). Credit to Timothy Leininger. To be imported via auto-edits."		
2025-01-10 00:00:00	S(A)K	בראשית מה,יד	"Moved meteg from the letter מ to י in ""בִנְיָֽמִן־אָחִ֖יו"", based on agreement of BA-BN and as in most manuscripts including C3 (but not L). Added documentation note. Credit to anonymous editor at Hebrew Wikisource. To be imported via auto-edits."		
2024-12-31 00:00:00	BD	various	Applied 235 auto-edits.		
2024-12-17 00:00:00	S(A)K	מלאכי ב,ז	"Moved ga`ya to the letter ו in ""יְהֹוָֽה־צְבָא֖וֹת"", as in most manuscripts (but not AC). Expanded documentation note."		
2024-12-03 00:00:00	S(A)K	מלאכי ב,ז	"Changed accent zaqeph qaton to ravia` in ""יְהֹוָ֗ה"". Credit to Asael Reiter. To be imported via auto-edits."		
2024-11-28 00:00:00	S(A)K	זכריה ב,ט	"Removed ga`ya from ""אֶהְיֶ֥ה"" (it is just a stain in LC). Credit to Daniel Holman. To be imported via auto-edits."		
2024-11-28 00:00:00	S(A)K	תרי עשר	In the Book of Twelve Prophets, added meteg in the following (6) words (as found in AC or in a word with pashta): Hosea 2.10 (אָֽנֹכִי֙); Hosea 12.3 (לַֽיהֹוָ֖ה); Micah 3.3 (וּפָֽרְשׂוּ֙); Micah 3.5 (וַֽאֲשֶׁר֙); Zechariah 10.6 (לֹֽא־זְנַחְתִּ֑ים); Malachi 2.3 (וְזֵרִ֤יתִֽי). Credit to Daniel Holman. To be imported via auto-edits.		
2024-11-27 00:00:00	S(A)K	תרי עשר	In the Book of Twelve Prophets, deleted meteg in the following (28) words (as found in AC or parallel manuscripts): Hosea 6.3 (מֹצָא֑וֹ); Hosea 11.8 (נִחוּמָֽי׃); Joel 2.2 (עַל־הֶהָרִ֑ים); Joel 2.27 (וְלֹא־יֵבֹ֥שׁוּ); Joel 3.5 (תִּהְיֶ֣ה); Joel 4.17 (יְרוּשָׁלִַם֙); Amos 2.6 (בַּעֲב֥וּר); Amos 5.14 (וִיהִי־כֵ֞ן); Amos 8.11 (וְלֹא־צָמָ֣א); Jonah 3.10 (C,S1=אֶת־מַ֣עֲשֵׂיהֶ֔ם); Micah 6.13 (הֶחֱלֵ֣יתִי); Zephaniah 1.11 (יֹשְׁבֵ֣י); Zephaniah 3.13 (כִּי־הֵ֛מָּה); Zephaniah 3.9 (כִּי־אָ֛ז); Zephaniah 3.16 (לִירוּשָׁלַ֖͏ִם); Zechariah 11.13 (וָאַשְׁלִ֥יךְ); Zechariah 12.2 (אֶת־יְרוּשָׁלִַ֧ם); Zechariah 13.2 (הָעֲצַבִּים֙); Zechariah 13.3 (כִּי־יִנָּבֵ֣א); Zechariah 14.10 (יְרוּשָׁלִָ֑ם); Malachi 1.2 (וַאֲמַרְתֶּ֖ם); Malachi 1.7 (וַאֲמַרְתֶּ֖ם); Malachi 1.8 (וְכִי־תַגִּישׁ֨וּן); Malachi 2.6 (לֹא־נִמְצָ֣א); Malachi 2.11 (בָּגְדָ֣ה); Malachi 3.4 (וִירוּשָׁלָ֑͏ִם); Malachi 3.7 (אֲבֹתֵיכֶ֜ם); Malachi 3.8 (קֹבְעִ֣ים). Credit to Daniel Holman. To be imported via auto-edits.		
2024-11-11 00:00:00	BD	various	Applied 26 auto-edits.		
2024-11-09 00:00:00	BD	שמות ז,כט	Use {{ש}} rather than vertical bar to separate doc parts. Change made manually both here & on Wikisource rather than using auto-edits mechanism.		
2024-11-04 00:00:00	BD	תורה	Applied 10 auto-edits, bringing over the varika/xataf work described in the row below.		
